Experiment,Planet,Situation,Biome
surfaceSample,Kerbin,SrfLanded,Grasslands
surfaceSample,Kerbin,SrfLanded,Highlands
surfaceSample,Kerbin,SrfLanded,Mountains
surfaceSample,Kerbin,SrfLanded,Deserts
surfaceSample,Kerbin,SrfLanded,Badlands
surfaceSample,Kerbin,SrfLanded,Tundra
surfaceSample,Kerbin,SrfLanded,IceCaps
surfaceSample,Kerbin,SrfLanded,Water
surfaceSample,Kerbin,SrfLanded,Shores
surfaceSample,Kerbin,SrfLanded,NorthernIceShelf
surfaceSample,Kerbin,SrfLanded,SouthernIceShelf
surfaceSample,Kerbin,SrfLanded,IslandAirfield
surfaceSample,Kerbin,SrfLanded,KSC
surfaceSample,Kerbin,SrfLanded,Administration
surfaceSample,Kerbin,SrfLanded,AstronautComplex
surfaceSample,Kerbin,SrfLanded,FlagPole
surfaceSample,Kerbin,SrfLanded,LaunchPad
surfaceSample,Kerbin,SrfLanded,Crawlerway
surfaceSample,Kerbin,SrfLanded,VAB
surfaceSample,Kerbin,SrfLanded,VABPodMemorial
surfaceSample,Kerbin,SrfLanded,VABMainBuilding
surfaceSample,Kerbin,SrfLanded,VABSouthComplex
surfaceSample,Kerbin,SrfLanded,VABTanks
surfaceSample,Kerbin,SrfLanded,VABRoundTank
surfaceSample,Kerbin,SrfLanded,Runway
surfaceSample,Kerbin,SrfLanded,SPH
surfaceSample,Kerbin,SrfLanded,SPHMainBuilding
surfaceSample,Kerbin,SrfLanded,SPHWaterTower
surfaceSample,Kerbin,SrfLanded,SPHRoundTank
surfaceSample,Kerbin,SrfLanded,SPHTanks
surfaceSample,Kerbin,SrfLanded,TrackingStation
surfaceSample,Kerbin,SrfLanded,TrackingStationDishEast
surfaceSample,Kerbin,SrfLanded,TrackingStationDishSouth
surfaceSample,Kerbin,SrfLanded,TrackingStationDishNorth
surfaceSample,Kerbin,SrfLanded,TrackingStationHub
surfaceSample,Kerbin,SrfLanded,R&D
surfaceSample,Kerbin,SrfLanded,R&DCentralBuilding
surfaceSample,Kerbin,SrfLanded,R&DSmallLab
surfaceSample,Kerbin,SrfLanded,R&DMainBuilding
surfaceSample,Kerbin,SrfLanded,R&DObservatory
surfaceSample,Kerbin,SrfLanded,R&DCornerLab
surfaceSample,Kerbin,SrfLanded,R&DTanks
surfaceSample,Kerbin,SrfLanded,R&DWindTunnel
surfaceSample,Kerbin,SrfLanded,R&DSideLab
surfaceSample,Kerbin,SrfLanded,MissionControl
surfaceSample,Kerbin,SrfSplashed,Grasslands
surfaceSample,Kerbin,SrfSplashed,Highlands
surfaceSample,Kerbin,SrfSplashed,Mountains
surfaceSample,Kerbin,SrfSplashed,Deserts
surfaceSample,Kerbin,SrfSplashed,Badlands
surfaceSample,Kerbin,SrfSplashed,Tundra
surfaceSample,Kerbin,SrfSplashed,IceCaps
surfaceSample,Kerbin,SrfSplashed,Water
surfaceSample,Kerbin,SrfSplashed,Shores
surfaceSample,Kerbin,SrfSplashed,NorthernIceShelf
surfaceSample,Kerbin,SrfSplashed,SouthernIceShelf
surfaceSample,Kerbin,SrfSplashed,IslandAirfield
surfaceSample,Kerbin,SrfSplashed,KSC
surfaceSample,Kerbin,SrfSplashed,Administration
surfaceSample,Kerbin,SrfSplashed,AstronautComplex
surfaceSample,Kerbin,SrfSplashed,FlagPole
surfaceSample,Kerbin,SrfSplashed,LaunchPad
surfaceSample,Kerbin,SrfSplashed,Crawlerway
surfaceSample,Kerbin,SrfSplashed,VAB
surfaceSample,Kerbin,SrfSplashed,VABPodMemorial
surfaceSample,Kerbin,SrfSplashed,VABMainBuilding
surfaceSample,Kerbin,SrfSplashed,VABSouthComplex
surfaceSample,Kerbin,SrfSplashed,VABTanks
surfaceSample,Kerbin,SrfSplashed,VABRoundTank
