Experiment;Planet;Situation;Biome;id
asteroidSample;Bop;InSpaceHigh;;asteroidSample@BopInSpaceHigh
asteroidSample;Bop;InSpaceLow;;asteroidSample@BopInSpaceLow
asteroidSample;Bop;SrfLanded;Peaks;asteroidSample@BopSrfLandedPeaks
asteroidSample;Bop;SrfLanded;Poles;asteroidSample@BopSrfLandedPoles
asteroidSample;Bop;SrfLanded;Ridges;asteroidSample@BopSrfLandedRidges
asteroidSample;Bop;SrfLanded;Slopes;asteroidSample@BopSrfLandedSlopes
asteroidSample;Bop;SrfLanded;Valley;asteroidSample@BopSrfLandedValley
barometerScan;Bop;InSpaceHigh;;barometerScan@BopInSpaceHigh
barometerScan;Bop;InSpaceLow;;barometerScan@BopInSpaceLow
barometerScan;Bop;SrfLanded;Peaks;barometerScan@BopSrfLandedPeaks
barometerScan;Bop;SrfLanded;Poles;barometerScan@BopSrfLandedPoles
barometerScan;Bop;SrfLanded;Ridges;barometerScan@BopSrfLandedRidges
barometerScan;Bop;SrfLanded;Slopes;barometerScan@BopSrfLandedSlopes
barometerScan;Bop;SrfLanded;Valley;barometerScan@BopSrfLandedValley
cometSample;Bop;InSpaceHigh;;cometSample@BopInSpaceHigh
cometSample;Bop;InSpaceLow;;cometSample@BopInSpaceLow
cometSample;Bop;SrfLanded;Peaks;cometSample@BopSrfLandedPeaks
cometSample;Bop;SrfLanded;Poles;cometSample@BopSrfLandedPoles
cometSample;Bop;SrfLanded;Ridges;cometSample@BopSrfLandedRidges
cometSample;Bop;SrfLanded;Slopes;cometSample@BopSrfLandedSlopes
cometSample;Bop;SrfLanded;Valley;cometSample@BopSrfLandedValley
crewReport;Bop;InSpaceHigh;;crewReport@BopInSpaceHigh
crewReport;Bop;InSpaceLow;;crewReport@BopInSpaceLow
crewReport;Bop;SrfLanded;Peaks;crewReport@BopSrfLandedPeaks
crewReport;Bop;SrfLanded;Poles;crewReport@BopSrfLandedPoles
crewReport;Bop;SrfLanded;Ridges;crewReport@BopSrfLandedRidges
crewReport;Bop;SrfLanded;Slopes;crewReport@BopSrfLandedSlopes
crewReport;Bop;SrfLanded;Valley;crewReport@BopSrfLandedValley
evaReport;Bop;InSpaceHigh;;evaReport@BopInSpaceHigh
evaReport;Bop;InSpaceLow;Peaks;evaReport@BopInSpaceLowPeaks
evaReport;Bop;InSpaceLow;Poles;evaReport@BopInSpaceLowPoles
evaReport;Bop;InSpaceLow;Ridges;evaReport@BopInSpaceLowRidges
evaReport;Bop;InSpaceLow;Slopes;evaReport@BopInSpaceLowSlopes
evaReport;Bop;InSpaceLow;Valley;evaReport@BopInSpaceLowValley
evaReport;Bop;SrfLanded;Peaks;evaReport@BopSrfLandedPeaks
evaReport;Bop;SrfLanded;Poles;evaReport@BopSrfLandedPoles
evaReport;Bop;SrfLanded;Ridges;evaReport@BopSrfLandedRidges
evaReport;Bop;SrfLanded;Slopes;evaReport@BopSrfLandedSlopes
evaReport;Bop;SrfLanded;Valley;evaReport@BopSrfLandedValley
evaScience;Bop;InSpaceHigh;;evaScience@BopInSpaceHigh
evaScience;Bop;InSpaceLow;;evaScience@BopInSpaceLow
evaScience;Bop;SrfLanded;;evaScience@BopSrfLanded
gravityScan;Bop;InSpaceHigh;Peaks;gravityScan@BopInSpaceHighPeaks
gravityScan;Bop;InSpaceHigh;Poles;gravityScan@BopInSpaceHighPoles
gravityScan;Bop;InSpaceHigh;Ridges;gravityScan@BopInSpaceHighRidges
gravityScan;Bop;InSpaceHigh;Slopes;gravityScan@BopInSpaceHighSlopes
gravityScan;Bop;InSpaceHigh;Valley;gravityScan@BopInSpaceHighValley
gravityScan;Bop;InSpaceLow;Peaks;gravityScan@BopInSpaceLowPeaks
gravityScan;Bop;InSpaceLow;Poles;gravityScan@BopInSpaceLowPoles
gravityScan;Bop;InSpaceLow;Ridges;gravityScan@BopInSpaceLowRidges
gravityScan;Bop;InSpaceLow;Slopes;gravityScan@BopInSpaceLowSlopes
gravityScan;Bop;InSpaceLow;Valley;gravityScan@BopInSpaceLowValley
gravityScan;Bop;SrfLanded;Peaks;gravityScan@BopSrfLandedPeaks
gravityScan;Bop;SrfLanded;Poles;gravityScan@BopSrfLandedPoles
gravityScan;Bop;SrfLanded;Ridges;gravityScan@BopSrfLandedRidges
gravityScan;Bop;SrfLanded;Slopes;gravityScan@BopSrfLandedSlopes
gravityScan;Bop;SrfLanded;Valley;gravityScan@BopSrfLandedValley
infraredTelescope;Bop;InSpaceHigh;;infraredTelescope@BopInSpaceHigh
magnetometer;Bop;InSpaceHigh;;magnetometer@BopInSpaceHigh
magnetometer;Bop;InSpaceLow;;magnetometer@BopInSpaceLow
mobileMaterialsLab;Bop;InSpaceHigh;;mobileMaterialsLab@BopInSpaceHigh
mobileMaterialsLab;Bop;InSpaceLow;;mobileMaterialsLab@BopInSpaceLow
mobileMaterialsLab;Bop;SrfLanded;Peaks;mobileMaterialsLab@BopSrfLandedPeaks
mobileMaterialsLab;Bop;SrfLanded;Poles;mobileMaterialsLab@BopSrfLandedPoles
mobileMaterialsLab;Bop;SrfLanded;Ridges;mobileMaterialsLab@BopSrfLandedRidges
mobileMaterialsLab;Bop;SrfLanded;Slopes;mobileMaterialsLab@BopSrfLandedSlopes
mobileMaterialsLab;Bop;SrfLanded;Valley;mobileMaterialsLab@BopSrfLandedValley
mysteryGoo;Bop;InSpaceHigh;;mysteryGoo@BopInSpaceHigh
mysteryGoo;Bop;InSpaceLow;;mysteryGoo@BopInSpaceLow
mysteryGoo;Bop;SrfLanded;Peaks;mysteryGoo@BopSrfLandedPeaks
mysteryGoo;Bop;SrfLanded;Poles;mysteryGoo@BopSrfLandedPoles
mysteryGoo;Bop;SrfLanded;Ridges;mysteryGoo@BopSrfLandedRidges
mysteryGoo;Bop;SrfLanded;Slopes;mysteryGoo@BopSrfLandedSlopes
mysteryGoo;Bop;SrfLanded;Valley;mysteryGoo@BopSrfLandedValley
recovery;Bop;FlewBy;;recovery@BopFlewBy
recovery;Bop;Orbited;;recovery@BopOrbited
recovery;Bop;SubOrbited;;recovery@BopSubOrbited
recovery;Bop;Surfaced;;recovery@BopSurfaced
seismicScan;Bop;SrfLanded;Peaks;seismicScan@BopSrfLandedPeaks
seismicScan;Bop;SrfLanded;Poles;seismicScan@BopSrfLandedPoles
seismicScan;Bop;SrfLanded;Ridges;seismicScan@BopSrfLandedRidges
seismicScan;Bop;SrfLanded;Slopes;seismicScan@BopSrfLandedSlopes
seismicScan;Bop;SrfLanded;Valley;seismicScan@BopSrfLandedValley
surfaceSample;Bop;SrfLanded;Peaks;surfaceSample@BopSrfLandedPeaks
surfaceSample;Bop;SrfLanded;Poles;surfaceSample@BopSrfLandedPoles
surfaceSample;Bop;SrfLanded;Ridges;surfaceSample@BopSrfLandedRidges
surfaceSample;Bop;SrfLanded;Slopes;surfaceSample@BopSrfLandedSlopes
surfaceSample;Bop;SrfLanded;Valley;surfaceSample@BopSrfLandedValley
temperatureScan;Bop;InSpaceHigh;;temperatureScan@BopInSpaceHigh
temperatureScan;Bop;InSpaceLow;;temperatureScan@BopInSpaceLow
temperatureScan;Bop;SrfLanded;Peaks;temperatureScan@BopSrfLandedPeaks
temperatureScan;Bop;SrfLanded;Poles;temperatureScan@BopSrfLandedPoles
temperatureScan;Bop;SrfLanded;Ridges;temperatureScan@BopSrfLandedRidges
temperatureScan;Bop;SrfLanded;Slopes;temperatureScan@BopSrfLandedSlopes
temperatureScan;Bop;SrfLanded;Valley;temperatureScan@BopSrfLandedValley
asteroidSample;Dres;InSpaceHigh;;asteroidSample@DresInSpaceHigh
asteroidSample;Dres;InSpaceLow;;asteroidSample@DresInSpaceLow
